transaction_type,transaction_amount,second_party,last_four_digits,transaction_timestamp,transaction_category
1,5.0,MIR JAMIR ALI,5801.0,2022-08-28 21:48:11+05:30,Other
1,273.0,,5801.0,2022-08-28 21:37:33+05:30,
1,1365.0,MIR,5801.0,2022-08-28 21:36:59+05:30,Food-Joints
1,70.0,NURUN NISHA,5801.0,2022-08-28 13:23:01+05:30,Other
1,15.0,MIR JAMIR ALI,5801.0,2022-08-27 21:07:27+05:30,Other
1,512.0,MIR,5801.0,2022-08-27 21:04:03+05:30,Food-Joints
1,50.0,DEBRAJ CHATTERJ,5801.0,2022-08-26 17:38:19+05:30,Other
1,2.0,Rockey,5801.0,2022-08-26 13:29:59+05:30,Other
1,113.0,Rockey,5801.0,2022-08-26 13:28:42+05:30,Other
1,20.0,,5801.0,2022-08-26 13:16:05+05:30,
1,213.0,,5801.0,2022-08-25 22:09:27+05:30,
1,70.0,,5801.0,2022-08-25 17:06:03+05:30,
1,27.0,Rockey,5801.0,2022-08-25 16:59:09+05:30,Other
1,62.0,Rockey,5801.0,2022-08-25 11:30:52+05:30,Other
2,1200.0,,5801.0,2022-08-25 10:26:51+05:30,
2,80.0,,5801.0,2022-08-25 10:20:08+05:30,
1,65.0,,5801.0,2022-08-23 20:01:18+05:30,
1,270.0,NURUN NISHA,5801.0,2022-08-23 14:16:28+05:30,Other
1,42.0,,5801.0,2022-08-23 12:40:12+05:30,
1,55.0,DEBRAJ CHATTERJ,5801.0,2022-08-23 11:02:50+05:30,Other
1,66.0,Rockey,5801.0,2022-08-22 09:31:10+05:30,Other
1,41.0,,,2022-08-22 09:30:48+05:30,
1,491.0,Smart Pind,5801.0,2022-08-21 23:17:57+05:30,Bill
1,400.0,RAJA NIRAJ MANUEL,5801.0,2022-08-20 22:50:08+05:30,Other
0,20.0,,,2022-08-20 20:28:07+05:30,
1,80.0,Mr AJAY RANA,5801.0,2022-08-20 19:57:03+05:30,Other
1,10.0,Rockey,5801.0,2022-08-20 12:45:47+05:30,Other
1,1957.0,CCAVENUES,5801.0,2022-08-20 10:49:19+05:30,Other
1,25.0,Rockey,5801.0,2022-08-20 09:56:45+05:30,Other
2,222.0,,5801.0,2022-08-19 21:21:21+05:30,
2,222.0,,,2022-08-19 21:21:09+05:30,
1,58.0,Rockey,5801.0,2022-08-19 11:13:07+05:30,Other
1,33.0,,5801.0,2022-08-18 22:37:33+05:30,
1,259.0,,5801.0,2022-08-18 21:42:40+05:30,
1,16.0,,5801.0,2022-08-18 19:10:32+05:30,
1,35.0,HERITAGE ANNEX,5801.0,2022-08-18 18:58:23+05:30,Other
2,25.0,,5801.0,2022-08-18 18:53:37+05:30,
1,37.0,Rockey,5801.0,2022-08-18 13:36:28+05:30,Other
1,20.0,,5801.0,2022-08-17 22:41:27+05:30,
0,290.0,,,2022-08-17 21:23:12+05:30,
0,290.0,,,2022-08-17 21:23:06+05:30,
0,290.0,,,2022-08-17 21:23:05+05:30,
1,1742.0,MIR,5801.0,2022-08-17 21:22:05+05:30,Food-Joints
1,43.0,Rockey,5801.0,2022-08-17 13:31:14+05:30,Other
2,40.0,,5801.0,2022-08-17 11:20:43+05:30,
1,28.0,,5801.0,2022-08-16 23:57:16+05:30,
1,164.0,DEBRAJ CHATTERJ,5801.0,2022-08-16 11:11:26+05:30,Other
1,90.0,NURUN NISHA,5801.0,2022-08-15 20:59:35+05:30,Other
1,2125.0,REGAL HOSPITALITY,5801.0,2022-08-14 20:32:31+05:30,Other
1,7.08,Razorpay,5801.0,2022-08-14 01:54:55+05:30,Bill
1,307.92,Razorpay,5801.0,2022-08-14 01:54:53+05:30,Bill
1,282.85,IRCTC Web UPI,5801.0,2022-08-14 01:49:43+05:30,Travel
1,7.08,Ixigo,5801.0,2022-08-14 01:13:03+05:30,E-commerce
1,307.92,Ixigo,5801.0,2022-08-14 00:55:26+05:30,E-commerce
1,538.57,Netmeds Marketplace Ltd,5801.0,2022-08-13 16:35:49+05:30,Other
2,80.0,,5801.0,2022-08-12 14:09:07+05:30,
1,400.0,,5801.0,2022-08-11 22:39:52+05:30,
0,1500.0,,,2022-08-11 13:10:46+05:30,
1,10.0,Rockey,5801.0,2022-08-11 12:41:22+05:30,Other
0,1500.0,,,2022-08-10 20:17:54+05:30,
1,20.0,Rockey,5801.0,2022-08-10 20:07:22+05:30,Other
0,1500.0,,,2022-08-10 20:01:04+05:30,
1,475.21,Netmeds Marketplace Ltd,5801.0,2022-08-10 19:16:59+05:30,Other
1,736.58,Pharmeasy,5801.0,2022-08-10 13:31:51+05:30,Other
1,33.0,Rockey,5801.0,2022-08-10 13:22:08+05:30,Other
1,42.0,Rockey,5801.0,2022-08-10 11:07:37+05:30,Other
2,500.0,,5801.0,2022-08-09 19:55:17+05:30,
1,20.0,Rockey,5801.0,2022-08-09 19:30:56+05:30,Other
1,741.85,Pharmeasy,5801.0,2022-08-09 19:29:01+05:30,Other
2,20.0,,5801.0,2022-08-09 18:43:43+05:30,
2,220.0,,5801.0,2022-08-09 18:15:04+05:30,
1,741.85,,,2022-08-09 15:55:39+05:30,
1,68.0,Rockey,5801.0,2022-08-09 13:45:39+05:30,Other
2,400.0,,5801.0,2022-08-09 10:17:24+05:30,
1,200.0,,5801.0,2022-08-08 20:03:10+05:30,
1,130.0,N Krishna Rao,5801.0,2022-08-08 19:55:41+05:30,Other
2,20.0,,5801.0,2022-08-08 16:49:23+05:30,
2,200.0,,5801.0,2022-08-08 15:14:59+05:30,
2,200.0,,,2022-08-08 15:14:49+05:30,
1,35.0,,5801.0,2022-08-08 09:41:12+05:30,
1,15.0,Rockey,5801.0,2022-08-07 17:35:02+05:30,Other
1,43.0,Rockey,5801.0,2022-08-07 12:20:42+05:30,Other
1,30.0,Zaaiqa,5801.0,2022-08-06 18:50:57+05:30,Other
1,25.0,Zaaiqa,5801.0,2022-08-06 18:20:27+05:30,Other
1,22.0,HERITAGE ANNEX,5801.0,2022-08-06 18:08:45+05:30,Other
1,10.0,Rockey,5801.0,2022-08-06 13:55:07+05:30,Other
1,60.0,Mr BABLU DEY,5801.0,2022-08-06 12:41:57+05:30,Other
1,105.0,,5801.0,2022-08-06 12:34:34+05:30,
1,60.0,PRADIP KUMAR GUPTA,5801.0,2022-08-06 11:58:57+05:30,Other
1,75.0,,5801.0,2022-08-06 01:47:29+05:30,
2,41.0,,5801.0,2022-08-06 01:45:59+05:30,
1,62.0,HERITAGE ANNEX,5801.0,2022-08-05 19:20:57+05:30,Other
1,100.0,Zaaiqa,5801.0,2022-08-05 18:58:41+05:30,Other
1,95.0,,,2022-08-05 18:58:21+05:30,
1,65.0,Rockey,5801.0,2022-08-05 10:34:18+05:30,Other
1,32.0,,5801.0,2022-08-05 10:32:51+05:30,
1,32.0,,5801.0,2022-08-05 10:25:38+05:30,
0,281.0,,,2022-08-04 22:50:25+05:30,
1,80.0,,5801.0,2022-08-04 22:50:16+05:30,
1,280.0,,5801.0,2022-08-04 22:50:07+05:30,
1,200.0,,5801.0,2022-08-04 22:50:05+05:30,
0,280.0,,,2022-08-04 22:47:53+05:30,
1,1947.0,,5801.0,2022-08-04 22:46:55+05:30,
1,10.0,,5801.0,2022-08-04 22:07:40+05:30,
1,42.0,,5801.0,2022-08-04 19:49:26+05:30,
1,66.0,Rockey,5801.0,2022-08-04 12:28:31+05:30,Other
2,60.0,,5801.0,2022-08-04 10:53:07+05:30,
1,20.0,Night Canteen,5801.0,2022-08-03 23:59:30+05:30,Food-Joints
1,46.0,,5801.0,2022-08-03 21:19:44+05:30,
1,20.0,,5801.0,2022-08-03 21:12:16+05:30,
1,20.0,JOY TRINATH DASAKARM,5801.0,2022-08-03 19:58:52+05:30,Other
1,20.0,,,2022-08-03 19:57:59+05:30,
1,145.0,KUSUM STEEL EMPORIUM,5801.0,2022-08-03 19:50:17+05:30,Other
1,120.0,,5801.0,2022-08-03 19:40:05+05:30,
1,60.0,Sp Dutta,5801.0,2022-08-03 18:00:41+05:30,Other
1,30.0,,5801.0,2022-08-03 17:58:56+05:30,
1,1199.0,AMAZON SELLER SERVICES PRIVATE LIMITED,5801.0,2022-08-01 10:40:35+05:30,Other
2,150.0,,5801.0,2022-08-01 10:12:17+05:30,
1,33.0,Rockey,5801.0,2022-07-31 18:43:38+05:30,Other
1,526.08,ixigo,5801.0,2022-07-31 15:10:47+05:30,E-commerce
1,10620.0,Agoda,5801.0,2022-07-31 14:45:38+05:30,E-commerce
1,45.0,Rockey,5801.0,2022-07-31 13:47:15+05:30,Other
